ASTEC model
Date: Tue Dec 15 15:15:42 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1015872 Feb 13 2018 ./gong.l9bi.d.22c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900389912701400E+010  3.846000139527454500E+033  1.486421875147453600E-002  7.217230637102691700E-001
  2.062882080499343300E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.332097899936977400E+002 -1.555019426736590700E+002  4.600000027905466100E+009  5.777506169032090800E+003  6.672320000000000600E-008
  6.964888850094546500E+010  8.073388685247528800E-011  4.348194744382970400E+003  9.351665730003578600E+002  3.214488622687992700E-009
  7.511146366895570200E-001  3.846000139527454500E+033  5.859309585625385000E-003  0.000000000000000000E+000  1.640494406952600200E+000
  3.890036943723868000E-001  1.007687095945221100E+000  1.733540053993932600E+008  8.902337918882741200E-001  2.559246125211553600E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.988460181845092800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964833403833636500E+010  8.067787282384947800E-011  4.348490498601487200E+003  9.852944781803802200E+002  3.386826743458281200E-009
  7.511146366895570200E-001  3.846000139527454500E+033  6.124339761454119700E-003  0.000000000000000000E+000  1.641163421905718500E+000
  3.893023764301142300E-001  1.007327706910569500E+000  1.731458360965966000E+008  8.902337918882741200E-001  2.559523838889777800E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.933013920935058600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964777601053801000E+010  8.061846803934992200E-011  4.348818513262243000E+003  1.038458262599938300E+003  3.569572101476438400E-009
  7.511146366895570200E-001  3.846000139527454500E+033  6.414108275634804000E-003  0.000000000000000000E+000  1.641810084985610800E+000
  3.895860815919239800E-001  1.006978663257100700E+000  1.729466662605471300E+008  8.902337918882741200E-001  2.559600376391992500E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.877211141099548300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964721507512718200E+010  8.055552324238475200E-011  4.349182287149074900E+003  1.094790087223529600E+003  3.763169349376153400E-009
  7.511146366895570200E-001  3.846000139527454500E+033  6.716589274148122000E-003  0.000000000000000000E+000  1.642437910788515600E+000
  3.898576971724060400E-001  1.006641826938066400E+000  1.727555744272065500E+008  8.902337918882741200E-001  2.559505367960974100E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.821117600016784700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964665131628233300E+010  8.048882210913548600E-011  4.349585693865208700E+003  1.154483645063337500E+003  3.968271913082431500E-009
  7.511146366895570200E-001  3.846000139527454500E+033  7.033220199475034300E-003  0.000000000000000000E+000  1.643054369665941400E+000
  3.901224274583315900E-001  1.006319471391929500E+000  1.725707273815215200E+008  8.902337918882741200E-001  2.559263636219564900E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.764741715531921400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964608486369520600E+010  8.041814109071486700E-011  4.350033020918195700E+003  1.217739043115457700E+003  4.185551297919295300E-009
  7.511146366895570200E-001  3.846000139527454500E+033  7.365015866792831900E-003  0.000000000000000000E+000  1.643671158727218100E+000
  3.903880566921194600E-001  1.006014887227995900E+000  1.723894033340908600E+008  8.902337918882741200E-001  2.558917953633597800E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.708096456819152800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964551585584341400E+010  8.034324535575623800E-011  4.350529012633312000E+003  1.284766454524707800E+003  4.415712938420794900E-009
  7.511146366895570200E-001  3.846000139527454500E+033  7.712756757001781900E-003  0.000000000000000000E+000  1.644283590731142800E+000
  3.906546599524489100E-001  1.005732696000475500E+000  1.722124288375055500E+008  8.902337918882741200E-001  2.558464112988000600E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.651195671640014600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964494442258634900E+010  8.026388601557295100E-011  4.351078917212332300E+003  1.355788615576547000E+003  4.659509153001428900E-009
  7.511146366895570200E-001  3.846000139527454500E+033  8.077108901418854000E-003  0.000000000000000000E+000  1.644865318104040200E+000
  3.909099120646634100E-001  1.005473912512287100E+000  1.720452138354322000E+008  8.902337918882741200E-001  2.557809594127558300E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.594052345933532700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964437067678219600E+010  8.017979795789597800E-011  4.351688538266850600E+003  1.431042768507430800E+003  4.917735505040014600E-009
  7.511146366895570200E-001  3.846000139527454500E+033  8.458660274881575600E-003  0.000000000000000000E+000  1.645420636936403700E+000
  3.911552527401693200E-001  1.005235239967282600E+000  1.718865011827748700E+008  8.902337918882741200E-001  2.556937891063823800E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.536677765518188500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964379470984683200E+010  8.009069788066132900E-011  4.352364291163669800E+003  1.510782424742143100E+003  5.191239858173697900E-009
  7.511146366895570200E-001  3.846000139527454500E+033  8.857951469463980900E-003  0.000000000000000000E+000  1.645958125842156100E+000
  3.913936520063265300E-001  1.005011737916906300E+000  1.717340891355200100E+008  8.902337918882741200E-001  2.555836765085603500E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.479081071981811500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964321659025503500E+010  7.999628241907236300E-011  4.353113264523347400E+003  1.595279042544732400E+003  5.480927651673080000E-009
  7.511146366895570200E-001  3.846000139527454500E+033  9.275488550308918400E-003  0.000000000000000000E+000  1.646491292334122400E+000
  3.916297567460904100E-001  1.004796390374098200E+000  1.715846941624416400E+008  8.902337918882741200E-001  2.554498033754004200E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.421269112802124000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964263636337396200E+010  7.989622624352142600E-011  4.353943287209989600E+003  1.684823729917032600E+003  5.787766971994550100E-009
  7.511146366895570200E-001  3.846000139527454500E+033  9.711749161730920700E-003  0.000000000000000000E+000  1.647031642910126200E+000
  3.918676117869299100E-001  1.004581787967836700E+000  1.714352433086051000E+008  8.902337918882741200E-001  2.552906692150194900E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.363246424694824200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964205405193856800E+010  7.979018006383218700E-011  4.354863001138432100E+003  1.779729030712620000E+003  6.112792938174565600E-009
  7.511146366895570200E-001  3.846000139527454500E+033  1.016718390755166000E-002  0.000000000000000000E+000  1.647550102927607000E+000
  3.920976683040457400E-001  1.004372798492787900E+000  1.712907344233977200E+008  8.902337918882741200E-001  2.550987206238528000E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.305015281155395500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964146965690310700E+010  7.967776850547490600E-011  4.355881940201717000E+003  1.880330825275835900E+003  6.457113684745916200E-009
  7.511146366895570200E-001  3.846000139527454500E+033  1.064221773333538800E-002  0.000000000000000000E+000  1.648043387279237300E+000
  3.923185182225636400E-001  1.004170904525525200E+000  1.711520164845432900E+008  8.902337918882741200E-001  2.548706815524879400E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.246575777609252900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964088315857301300E+010  7.955858783794317500E-011  4.357010615584003100E+003  1.986990363148158400E+003  6.821916160598866600E-009
  7.511146366895570200E-001  3.846000139527454500E+033  1.113724993252391400E-002  0.000000000000000000E+000  1.648516457216487200E+000
  3.925313117392554300E-001  1.003976548228210600E+000  1.710186470589251200E+008  8.902337918882741200E-001  2.546044638488918700E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.187925944599914600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.147920031560316200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.403019595220766500E-003  6.384343698914197100E-003
  6.964029451788433800E+010  7.943220353756050000E-011  4.358260607668125000E+003  2.100096443975574400E+003  7.208472053274296700E-009
  7.511146366895570200E-001  3.846000139527454500E+033  1.165265490502844100E-002  0.000000000000000000E+000  1.648977710513054800E+000
  3.927381471373915800E-001  1.003790522415674200E+000  1.708898405006490600E+008  8.902337918882741200E-001  2.542984437551563100E+003
  0.000000000000000000E+000  1.359516671684490900E-002 -4.129061875732421900E+007  0.000000000000000000E+000  0.000000000000000000E+000
