ASTEC model
Date: Mon Feb 25 13:47:41 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 13:13 ./gong.l9bi.d.06c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899989669688400E+010  3.845999991028883700E+033  1.961737074984338400E-002  7.088728004441383600E-001
  1.985781364077543700E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.358151938081167600E+002 -1.611477586655339300E+002  4.570000017834956200E+009  5.777506279386554500E+003  6.672320000000000600E-008
  6.964853534154332000E+010  8.398902058953614800E-011  4.348194860410943000E+003  9.498385043313060100E+002  3.308150555042869100E-009
  7.369877217624999400E-001  3.845999991028883700E+033  5.768804922071945500E-003  0.000000000000000000E+000  1.640695885321331400E+000
  3.890947030396558800E-001  1.007569862360475000E+000  1.710287658736675100E+008  8.900314491902955300E-001  2.593452051664882200E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.953544484643554700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964798798401918000E+010  8.393211239118980800E-011  4.348490614637351400E+003  1.000766292823587200E+003  3.485556721797732700E-009
  7.369877217624999400E-001  3.845999991028883700E+033  6.026576515088805400E-003  0.000000000000000000E+000  1.641350924767004400E+000
  3.893853260915599000E-001  1.007211785208101500E+000  1.708271799598769200E+008  8.900314491902955300E-001  2.593686871236599900E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.898808732229614300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964743636455856300E+010  8.387167363717252800E-011  4.348818629306860200E+003  1.054853848669391700E+003  3.673938161293329900E-009
  7.369877217624999400E-001  3.845999991028883700E+033  6.297463803693385800E-003  0.000000000000000000E+000  1.641985454204290200E+000
  3.896627311348063700E-001  1.006863868043156800E+000  1.706336924719856700E+008  8.900314491902955300E-001  2.593746359270801800E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.843646786167907700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964688079691336100E+010  8.380750083436760700E-011  4.349182403203399200E+003  1.112283293287264100E+003  3.873918835701472000E-009
  7.369877217624999400E-001  3.845999991028883700E+033  6.582049258343254300E-003  0.000000000000000000E+000  1.642605697751437600E+000
  3.899310638343057600E-001  1.006528634972312800E+000  1.704469743702396800E+008  8.900314491902955300E-001  2.593651921992483900E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.788090021647644000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964632157237138400E+010  8.373937827744423800E-011  4.349585809930297700E+003  1.173247676046586100E+003  4.086157413734233800E-009
  7.369877217624999400E-001  3.845999991028883700E+033  6.880936848334218700E-003  0.000000000000000000E+000  1.643222164171447100E+000
  3.901969381490070200E-001  1.006209670087656600E+000  1.702648618709554100E+008  8.900314491902955300E-001  2.593442200435622500E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.732167567449951200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964575896003306600E+010  8.366707725640140000E-011  4.350033136995225500E+003  1.237951684040196800E+003  4.311349509672357200E-009
  7.369877217624999400E-001  3.845999991028883700E+033  7.194757775842732500E-003  0.000000000000000000E+000  1.643846051613787800E+000
  3.904677595397674800E-001  1.005911980941297700E+000  1.700851371945945300E+008  8.900314491902955300E-001  2.593162951629109600E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.675906333618164100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964519320850338700E+010  8.359035531318895600E-011  4.350529128723573200E+003  1.306612309116979500E+003  4.550238056278818700E-009
  7.369877217624999400E-001  3.845999991028883700E+033  7.524185639860729600E-003  0.000000000000000000E+000  1.644449091008466100E+000
  3.907311934923910500E-001  1.005639563379375500E+000  1.699137209512486200E+008  8.900314491902955300E-001  2.592728580379139700E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.619331180650329600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964462454770343000E+010  8.350895547907105000E-011  4.351079033317267200E+003  1.379459529328548100E+003  4.803607576451560300E-009
  7.369877217624999400E-001  3.845999991028883700E+033  7.869928543482430900E-003  0.000000000000000000E+000  1.645025399341986500E+000
  3.909842230449475700E-001  1.005390144778673100E+000  1.697514416788021900E+008  8.900314491902955300E-001  2.592097264553242900E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.562465100654602100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964405318974835200E+010  8.342260542732764900E-011  4.351688654388056400E+003  1.456737067467679900E+003  5.072286154384661200E-009
  7.369877217624999400E-001  3.845999991028883700E+033  8.232732124510321700E-003  0.000000000000000000E+000  1.645580908259630200E+000
  3.912290605315141800E-001  1.005159144450249700E+000  1.695965109633548000E+008  8.900314491902955300E-001  2.591253706668389000E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.505329305146789600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964347933004736300E+010  8.333101660432195100E-011  4.352364407302903600E+003  1.538703169229209200E+003  5.357148857493138700E-009
  7.369877217624999400E-001  3.845999991028883700E+033  8.613384672306621800E-003  0.000000000000000000E+000  1.646125725593245100E+000
  3.914694166806817500E-001  1.004939825196829100E+000  1.694461318807613800E+008  8.900314491902955300E-001  2.590185221530887700E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.447943335047912600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964290314858508300E+010  8.323388334098126300E-011  4.353113380682566500E+003  1.625631398715563600E+003  5.659119948674735700E-009
  7.369877217624999400E-001  3.845999991028883700E+033  9.012720871494926700E-003  0.000000000000000000E+000  1.646675031622806300E+000
  3.917108274796529100E-001  1.004722804838937400E+000  1.692962794556567700E+008  8.900314491902955300E-001  2.588882507402883200E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.390325188819885300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964232481112547300E+010  8.313088193084932300E-011  4.353943403391357600E+003  1.717811463737738900E+003  5.979174113272738500E-009
  7.369877217624999400E-001  3.845999991028883700E+033  9.431624748908240500E-003  0.000000000000000000E+000  1.647212652523667900E+000
  3.919481934331134900E-001  1.004508020356869000E+000  1.691491273949215400E+008  8.900314491902955300E-001  2.587286851090866500E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.332491442858886700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964174447032472200E+010  8.302166967606172200E-011  4.354863117344341800E+003  1.815550070014732200E+003  6.318338318973321500E-009
  7.369877217624999400E-001  3.845999991028883700E+033  9.871034174687458000E-003  0.000000000000000000E+000  1.647721843379840000E+000
  3.921756262733808700E-001  1.004300068225877600E+000  1.690079821052120300E+008  8.900314491902955300E-001  2.585343595702103400E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.274457362783813500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
  6.964116226690876800E+010  8.290588391836792700E-011  4.355882056434816100E+003  1.919171789007227300E+003  6.677694499345888400E-009
  7.369877217624999400E-001  3.845999991028883700E+033  1.033194731871570100E-002  0.000000000000000000E+000  1.648206787618346200E+000
  3.923940144425880900E-001  1.004099325036107700E+000  1.688725058399554800E+008  8.900314491902955300E-001  2.583029800317240600E+003
  0.000000000000000000E+000  1.805619910142919300E-002 -4.216237021188354500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.844534465735145200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.440742921314522200E-003  9.426916212000027400E-003
