ASTEC model
Date: Tue Dec 15 15:15:42 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 2019 ./gong.l9bi.d.20c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899944708348100E+010  3.845999944063031100E+033  1.973351048560173900E-002  7.102815449827985000E-001
  1.963142434547379800E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.379701266263554900E+002 -1.621882743114523500E+002  4.600000023865002600E+009  5.777506280409893400E+003  6.672320000000000600E-008
  6.964864304045623800E+010  8.381406133821458900E-011  4.348194857933122000E+003  9.474065005552065500E+002  3.292848265195934200E-009
  7.392012011478519300E-001  3.845999944063031100E+033  5.783602982435860600E-003  0.000000000000000000E+000  1.640662045638367200E+000
  3.890795726434462300E-001  1.007589177515660000E+000  1.713935657370019600E+008  8.912038510299785700E-001  2.588026969412649600E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.964359337275695800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964809454408451800E+010  8.375729850330472000E-011  4.348490612159366700E+003  9.982041619968445000E+002  3.469434863985755500E-009
  7.392012011478519300E-001  3.845999944063031100E+033  6.041971752214002200E-003  0.000000000000000000E+000  1.641319410528783200E+000
  3.893714865311647700E-001  1.007230868819417600E+000  1.711909337745801800E+008  8.912038510299785700E-001  2.588269591332329600E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.909509700103759800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964754177135971100E+010  8.369701348974900000E-011  4.348818626828684500E+003  1.052154091022080800E+003  3.656948226382037400E-009
  7.392012011478519300E-001  3.845999944063031100E+033  6.313483717115764300E-003  0.000000000000000000E+000  1.641955999816881100E+000
  3.896499178658200900E-001  1.006882630407494000E+000  1.709965116951547600E+008  8.912038510299785700E-001  2.588335392112906000E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.854232427622985800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964698503693801900E+010  8.363300324572836800E-011  4.349182400725019800E+003  1.109438014072274700E+003  3.856009777802053000E-009
  7.392012011478519300E-001  3.845999944063031100E+033  6.598723287863949600E-003  0.000000000000000000E+000  1.642577619082567600E+000
  3.899188162769582900E-001  1.006546848071858500E+000  1.708090262365538800E+008  8.912038510299785700E-001  2.588244119491103900E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.798558985453796400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964642463303337100E+010  8.356505253827974600E-011  4.349585807451683600E+003  1.170248557678360200E+003  4.067275524140732100E-009
  7.392012011478519300E-001  3.845999944063031100E+033  6.898295971655794500E-003  0.000000000000000000E+000  1.643194212897930400E+000
  3.901845385816352700E-001  1.006226921157349600E+000  1.706263853586129200E+008  8.912038510299785700E-001  2.588032205658241800E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.742518594989013700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964586082962280300E+010  8.349293315748709200E-011  4.350033134516357700E+003  1.234789961210344900E+003  4.291437985922749200E-009
  7.392012011478519300E-001  3.845999944063031100E+033  7.212833960020346300E-003  0.000000000000000000E+000  1.643818111448586400E+000
  3.904550785769483900E-001  1.005927603866107800E+000  1.704460735327287300E+008  8.912038510299785700E-001  2.587748460944091700E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.686138253932189900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964529387605064400E+010  8.341640316821389100E-011  4.350529126244422500E+003  1.303278748282361000E+003  4.529236425435381600E-009
  7.392012011478519300E-001  3.845999944063031100E+033  7.543011299698541700E-003  0.000000000000000000E+000  1.644423200775864600E+000
  3.907193166387193400E-001  1.005653292265698900E+000  1.702735840753935000E+008  8.912038510299785700E-001  2.587316259811489500E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.629442896716308600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964472400290553300E+010  8.333520615148564900E-011  4.351079030837802700E+003  1.375944404817591500E+003  4.781452418644293900E-009
  7.392012011478519300E-001  3.845999944063031100E+033  7.889537772858772100E-003  0.000000000000000000E+000  1.645000864409786200E+000
  3.909729605220452800E-001  1.005402122062127200E+000  1.701103595418371300E+008  8.912038510299785700E-001  2.586686637667504300E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.572455582205200200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964415142295828200E+010  8.324907036167150400E-011  4.351688651908244500E+003  1.453030133356503900E+003  5.048910560616247600E-009
  7.392012011478519300E-001  3.845999944063031100E+033  8.253160178500071300E-003  0.000000000000000000E+000  1.645556857291842000E+000
  3.912181346068042100E-001  1.005169726288052100E+000  1.699546824377676000E+008  8.912038510299785700E-001  2.585844284950612700E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.515197587480163600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964357633221395900E+010  8.315770785554343500E-011  4.352364404822710600E+003  1.534793633077657900E+003  5.332482232130743200E-009
  7.392012011478519300E-001  3.845999944063031100E+033  8.634667956887038700E-003  0.000000000000000000E+000  1.646101078733169800E+000
  3.914584379761182900E-001  1.004949654718732200E+000  1.698038473866417400E+008  8.912038510299785700E-001  2.584776524661995600E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.457688513047790500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964299891119091800E+010  8.306081360412390900E-011  4.353113378201942400E+003  1.621507894971021400E+003  5.633087806372680300E-009
  7.392012011478519300E-001  3.845999944063031100E+033  9.034896924457433100E-003  0.000000000000000000E+000  1.646648801088618000E+000
  3.916993799635805100E-001  1.004732804796778500E+000  1.696538802121090900E+008  8.912038510299785700E-001  2.583474598795166500E+003
  0.000000000000000000E+000  1.811042884969116300E-002 -4.399946410743713400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.554664912120363400E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563673700E-003  9.427978008010441300E-003
  6.964241932613946500E+010  8.295806457213892000E-011  4.353943400910260600E+003  1.713462025915491500E+003  5.951698055755075900E-009
  7.392012011478519300E-001  3.845999944063031100E+033  9.454732431468314600E-003  0.000000000000000000E+000  1.647188483801235400E+000
