ASTEC model
Date: Mon Feb 25 13:47:45 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.35c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899975414706400E+010  3.845999993594662600E+033  1.963285236286504600E-002  7.080778129212222900E-001
  2.072883015079659300E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.362279539099003200E+002 -1.619185344465742300E+002  4.600000018730034800E+009  5.777506286266770100E+003  6.672320000000000600E-008
  6.964841325879438800E+010  8.034220697317125500E-011  4.348194832819637700E+003  9.152829963821393400E+002  3.188524294316055900E-009
  7.366846010516252500E-001  3.845999993594662600E+033  5.986595143841012800E-003  0.000000000000000000E+000  1.640213078701526300E+000
  3.888774394334914600E-001  1.007831170549668100E+000  1.711297568689107300E+008  8.898708994569563000E-001  2.593266178808180000E+003
  0.000000000000000000E+000  1.804877442851060600E-002 -4.941350464732360800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.911745463935594200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173681500E-003  9.426916212000013500E-003
  6.964786592013494900E+010  8.028735792443806100E-011  4.348490587044169800E+003  9.643677548766086100E+002  3.359554032519585500E-009
  7.366846010516252500E-001  3.845999993594662600E+033  6.251626232963181400E-003  0.000000000000000000E+000  1.640888663733188500E+000
  3.891807141684712800E-001  1.007464675244280400E+000  1.709207656000044000E+008  8.898708994569563000E-001  2.593572024212862300E+003
  0.000000000000000000E+000  1.804877442851060600E-002 -4.886616598788452100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.911745463935594200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173681500E-003  9.426916212000013500E-003
  6.964731470239370700E+010  8.022914854149183200E-011  4.348818601711596800E+003  1.016461412023111600E+003  3.541038042110012000E-009
  7.366846010516252500E-001  3.845999993594662600E+033  6.544328278786170700E-003  0.000000000000000000E+000  1.641540262462614300E+000
  3.894684838585302800E-001  1.007107597532008300E+000  1.707207583850337900E+008  8.898708994569563000E-001  2.593664614522028800E+003
  0.000000000000000000E+000  1.804877442851060600E-002 -4.831494824664306600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.911745463935594200E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173681500E-003  9.426916212000013500E-003
  6.964676044423606900E+010  8.016744764101887100E-011  4.349182375605827500E+003  1.071679839357891800E+003  3.733370516696417400E-009
  7.366846010516252500E-001  3.845999993594662600E+033  6.851092072622113700E-003  0.000000000000000000E+000  1.642171323963057800E+000
  3.897433699526289800E-001  1.006762157878977400E+000  1.705289961318593900E+008  8.898708994569563000E-001  2.593574912019076200E+003
