ASTEC model
Date: Tue Dec 15 15:15:42 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1015872 Feb 13 2018 ./gong.l9bi.d.21c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899325218795800E+010  3.845999219001259400E+033  1.373127428398950400E-002  7.296261495888212200E-001
  2.023486055488558300E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.321119642428599800E+002 -1.530817170764744300E+002  4.600000018039081600E+009  5.777506265234094800E+003  6.672320000000000600E-008
  6.964907576366088900E+010  8.320568625846710400E-011  4.348194795674840000E+003  9.771620660222718000E+002  3.334299121905255200E-009
  7.591570145877134500E-001  3.845999219001259400E+033  5.607497363727278700E-003  0.000000000000000000E+000  1.641069476743086200E+000
  3.892600578913736300E-001  1.007388682581563200E+000  1.744632914774609800E+008  8.925760961252214900E-001  2.541466154098336600E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -5.008251147293090800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964851778363911400E+010  8.314721908088991000E-011  4.348490549896849200E+003  1.029486776798370600E+003  3.512868823455578200E-009
  7.591570145877134500E-001  3.845999219001259400E+033  5.873264002306156600E-003  0.000000000000000000E+000  1.641718813068311800E+000
  3.895457232749955900E-001  1.007041378033393100E+000  1.742621000038726600E+008  8.925760961252214900E-001  2.541663531936824700E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.952453145115661600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964795675760293600E+010  8.308527580058075900E-011  4.348818564561474900E+003  1.084922410584941600E+003  3.702023041830924500E-009
  7.591570145877134500E-001  3.845999219001259400E+033  6.151343604042994500E-003  0.000000000000000000E+000  1.642348729950222400E+000
  3.898184836080652000E-001  1.006705735298979400E+000  1.740692749911864400E+008  8.925760961252214900E-001  2.541694580960697300E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.896350541497802700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964739276490927100E+010  8.301964302518111800E-011  4.349182338452597800E+003  1.143659857571319400E+003  3.902402538695954100E-009
  7.591570145877134500E-001  3.845999219001259400E+033  6.441586074169934100E-003  0.000000000000000000E+000  1.642964994887003300E+000
  3.900827051193536100E-001  1.006383487203707600E+000  1.738832335280014600E+008  8.925760961252214900E-001  2.541580881170938000E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.839951272131347700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964682588304669200E+010  8.295009433487261800E-011  4.349585745173485500E+003  1.205901836648186600E+003  4.114684937551001700E-009
  7.591570145877134500E-001  3.845999219001259400E+033  6.745258249958043500E-003  0.000000000000000000E+000  1.643577027228254800E+000
  3.903450750625617200E-001  1.006077169928238000E+000  1.737015686336840700E+008  8.925760961252214900E-001  2.541356977351091200E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.783263085873413100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964625622945649700E+010  8.287639480937845900E-011  4.350033072231754000E+003  1.271858626060890400E+003  4.339570648847623200E-009
  7.591570145877134500E-001  3.845999219001259400E+033  7.063269476413891500E-003  0.000000000000000000E+000  1.644190928869214900E+000
  3.906112257213542600E-001  1.005790559488570500E+000  1.735225821986099200E+008  8.925760961252214900E-001  2.541052749321317600E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.726297726853942900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964568393059484900E+010  8.279829732816716400E-011  4.350529063952722000E+003  1.341751397865096800E+003  4.577802792931250000E-009
  7.591570145877134500E-001  3.845999219001259400E+033  7.396363250745640800E-003  0.000000000000000000E+000  1.644777023575751700E+000
  3.908679702950437200E-001  1.005526604188565300E+000  1.733524587984480000E+008  8.925760961252214900E-001  2.540576750133078800E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.669067840689086900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964510910709893800E+010  8.271554002712706200E-011  4.351078968538224200E+003  1.415814501950273300E+003  4.830164304270009200E-009
  7.591570145877134500E-001  3.845999219001259400E+033  7.745182214611338900E-003  0.000000000000000000E+000  1.645334071473389500E+000
  3.911141488526540500E-001  1.005283033667897700E+000  1.731912344023995100E+008  8.925760961252214900E-001  2.539900072681604800E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.611585491098022500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  4.045045789261085200E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.132413341252352900E-003  6.044745418802998200E-003
  6.964453186552803000E+010  8.262784417235012400E-011  4.351688589599937600E+003  1.494297374006451700E+003  5.097485570293151000E-009
  7.591570145877134500E-001  3.845999219001259400E+033  8.110309594016332200E-003  0.000000000000000000E+000  1.645869673088437200E+000
  3.913522988407192600E-001  1.005055822263215100E+000  1.730370419550690400E+008  8.925760961252214900E-001  2.539011569757530700E+003
  0.000000000000000000E+000  1.252609629998668900E-002 -4.553861334007263200E+007  0.000000000000000000E+000  0.000000000000000000E+000
