ASTEC model
Date: Mon Feb 25 13:47:44 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1015872 Feb 13 2018 ./gong.l9bi.d.24c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899791018313600E+010  3.845999771284019300E+033  1.963782394737386900E-002  7.090513859846773200E-001
  1.044670576254595400E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.363842248498473900E+002 -1.620510710801742100E+002  4.600000019234719300E+009  5.777506279312305200E+003  6.672320000000000600E-008
  6.964854934678903200E+010  8.396310029631232200E-011  4.348194799757573500E+003  9.494778933390658700E+002  3.305881220296025400E-009
  7.373147638882842100E-001  3.845999771284019300E+033  5.770989963084561600E-003  0.000000000000000000E+000  1.640690859826432900E+000
  3.890924592621482500E-001  1.007572724601744700E+000  1.710826677578612600E+008  8.902046720167321500E-001  2.592649148192763700E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.955143660589599600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964800182085742200E+010  8.390621363680448000E-011  4.348490553979861000E+003  1.000386386995622800E+003  3.483165846625657700E-009
  7.373147638882842100E-001  3.845999771284019300E+033  6.028849728502708900E-003  0.000000000000000000E+000  1.641346243709918400E+000
  3.893832724925026000E-001  1.007214613229926000E+000  1.708809276222597100E+008  8.902046720167321500E-001  2.592885120033558000E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.900391067428588900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964745003085746800E+010  8.384579766265645400E-011  4.348818568644795100E+003  1.054453536098357100E+003  3.671418553157945300E-009
  7.373147638882842100E-001  3.845999771284019300E+033  6.299829256090707500E-003  0.000000000000000000E+000  1.641981075586731200E+000
  3.896608275125403300E-001  1.006866647538049400E+000  1.706873026517179000E+008  8.902046720167321500E-001  2.592945529869750300E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.845212067433166500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964689429067520100E+010  8.378164894616046400E-011  4.349182342536259100E+003  1.111861403471168600E+003  3.871262925935321500E-009
  7.373147638882842100E-001  3.845999771284019300E+033  6.584511299201434800E-003  0.000000000000000000E+000  1.642601516843651200E+000
  3.899292406675933200E-001  1.006531330895126700E+000  1.705004721315828000E+008  8.902046720167321500E-001  2.592851535349503100E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.789638049206543000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964633489173555000E+010  8.371355185197517300E-011  4.349585749257526000E+003  1.172802975780161400E+003  4.083357238953399800E-009
  7.373147638882842100E-001  3.845999771284019300E+033  6.883500052881219200E-003  0.000000000000000000E+000  1.643217991780967900E+000
  3.901950874839048000E-001  1.006212219729213600E+000  1.703182829818571500E+008  8.902046720167321500E-001  2.592641446744406900E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.733698155241394000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964577210326808200E+010  8.364127774414949100E-011  4.350033076316214600E+003  1.237482873765039800E+003  4.308396642811713900E-009
  7.373147638882842100E-001  3.845999771284019300E+033  7.197426857814261300E-003  0.000000000000000000E+000  1.643841895398211900E+000
  3.904658750553218200E-001  1.005914284675929900E+000  1.701384673875137000E+008  8.902046720167321500E-001  2.592361569399349700E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.677419308494567900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964520617398683200E+010  8.356458424207186300E-011  4.350529068037647400E+003  1.306118019878525300E+003  4.547123532919997300E-009
  7.373147638882842100E-001  3.845999771284019300E+033  7.526965388365842100E-003  0.000000000000000000E+000  1.644445233417231000E+000
  3.907294270132438700E-001  1.005641586161581500E+000  1.699668929022026400E+008  8.902046720167321500E-001  2.591927511511301900E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.620826380369567900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964463733391183500E+010  8.348321445844708300E-011  4.351078972623666200E+003  1.378938319207853100E+003  4.800321992727309000E-009
  7.373147638882842100E-001  3.845999771284019300E+033  7.872823991422243900E-003  0.000000000000000000E+000  1.645021737616971300E+000
  3.909825462084062800E-001  1.005391909126292800E+000  1.698044746592003100E+008  8.902046720167321500E-001  2.591296440071771500E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.563942372869873000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964406579525503500E+010  8.339689615261105800E-011  4.351688593685951700E+003  1.456187417433908900E+003  5.068819589056627300E-009
  7.373147638882842100E-001  3.845999771284019300E+033  8.235748475615048400E-003  0.000000000000000000E+000  1.645577313458409100E+000
  3.912274318654177500E-001  1.005160704927233800E+000  1.696494348338082400E+008  8.902046720167321500E-001  2.590453056215014400E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.506788507189941400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964349175351367200E+010  8.330534086131669500E-011  4.352364346591377400E+003  1.538123479253204300E+003  5.353490842646909600E-009
  7.373147638882842100E-001  3.845999771284019300E+033  8.616527299426801600E-003  0.000000000000000000E+000  1.646122037856077500E+000
  3.914677780727186500E-001  1.004941279345114000E+000  1.694989901646232900E+008  8.902046720167321500E-001  2.589384676431492200E+003
  0.000000000000000000E+000  1.806421166914895500E-002 -4.449384333053588900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.624744169675513800E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563634700E-003  9.427978008010486400E-003
  6.964291538875111400E+010  8.320824301026968300E-011  4.353113319960592900E+003  1.625019983833273500E+003  5.655259440116524300E-009
  7.373147638882842100E-001  3.845999771284019300E+033  9.015995314189759900E-003  0.000000000000000000E+000  1.646671129305868500E+000
  3.917091251182308600E-001  1.004724284645856800E+000  1.693491184324584000E+008  8.902046720167321500E-001  2.588082116842005200E+003
