ASTEC model
Date: Mon Feb 25 13:47:44 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 14:27 ./gong.l9bi.d.18c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900181622367900E+010  3.846000217649644000E+033  2.005382189000707400E-002  7.071563265661792200E-001
  2.016330567189659200E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.374027374995812900E+002 -1.637918351690635700E+002  4.600000019340279600E+009  5.777506284823397400E+003  6.672320000000000600E-008
  6.964869569347337300E+010  8.373301304505442700E-011  4.348194862257066200E+003  9.462808756329469600E+002  3.285770092536994900E-009
  7.402312626279631300E-001  3.846000217649644000E+033  5.790493282341433100E-003  0.000000000000000000E+000  1.640646428707561300E+000
  3.890725722624167600E-001  1.007598125961793200E+000  1.715633171351448300E+008  8.917494390656558500E-001  2.585510096724049200E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.969387724969482400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964814666763757300E+010  8.367631753840643400E-011  4.348490616483604800E+003  9.970183090035161500E+002  3.461977585678704600E-009
  7.402312626279631300E-001  3.846000217649644000E+033  6.049140105943229600E-003  0.000000000000000000E+000  1.641304870884326100E+000
  3.893650897964145400E-001  1.007239709102553100E+000  1.713601964919530700E+008  8.917494390656558500E-001  2.585756351482418700E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.914485141389465300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964759335874432400E+010  8.361610373393552500E-011  4.348818631153252700E+003  1.050904538204329800E+003  3.649089397722453800E-009
  7.402312626279631300E-001  3.846000217649644000E+033  6.320942890866708900E-003  0.000000000000000000E+000  1.641942428517946700E+000
  3.896440075787874800E-001  1.006891326394862700E+000  1.711653361648807200E+008  8.917494390656558500E-001  2.585825146839689300E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.859154252064514200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964703608186793500E+010  8.355216878405530200E-011  4.349182405049946300E+003  1.108121107038768100E+003  3.847725780415662900E-009
  7.402312626279631300E-001  3.846000217649644000E+033  6.606486972422416000E-003  0.000000000000000000E+000  1.642564717153829300E+000
  3.899131858877615300E-001  1.006555300871747200E+000  1.709774884080223100E+008  8.917494390656558500E-001  2.585735477452743500E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.803426564425659200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964647512965188600E+010  8.348429767456032000E-011  4.349585811777011300E+003  1.168860446384575700E+003  4.058541507099986100E-009
  7.402312626279631300E-001  3.846000217649644000E+033  6.906378581751794600E-003  0.000000000000000000E+000  1.643181424666722900E+000
  3.901788641983541800E-001  1.006234947862742600E+000  1.707945940249015400E+008  8.917494390656558500E-001  2.585522770931729600E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.747331342820739700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964591077248374900E+010  8.341226242737895500E-011  4.350033138842129100E+003  1.233326588225468200E+003  4.282227693077034000E-009
  7.402312626279631300E-001  3.846000217649644000E+033  7.221250411525598600E-003  0.000000000000000000E+000  1.643805251918004200E+000
  3.904492325106497800E-001  1.005934902146263100E+000  1.706140310859386300E+008  8.917494390656558500E-001  2.585236750188247700E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.690895626007080100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964534326005322300E+010  8.333582134976258600E-011  4.350529130570692400E+003  1.301735839305276600E+003  4.519521866292809300E-009
  7.402312626279631300E-001  3.846000217649644000E+033  7.551776667655147800E-003  0.000000000000000000E+000  1.644411318831316700E+000
  3.907138492614786200E-001  1.005659715119444200E+000  1.704410403565287600E+008  8.917494390656558500E-001  2.584805599296534200E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.634144382954406700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964477282325813300E+010  8.325471827743332100E-011  4.351079035164614700E+003  1.374317457745742800E+003  4.771204252288978300E-009
  7.402312626279631300E-001  3.846000217649644000E+033  7.898667936067606900E-003  0.000000000000000000E+000  1.644989637401798000E+000
  3.909677852183918700E-001  1.005407727962146700E+000  1.702773721560926700E+008  8.917494390656558500E-001  2.584176798076700400E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.577100703445434600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964419967517504900E+010  8.316868173410639500E-011  4.351688656235663100E+003  1.451314405148303600E+003  5.038097831946420800E-009
  7.402312626279631300E-001  3.846000217649644000E+033  8.262671559646559200E-003  0.000000000000000000E+000  1.645545880692655300E+000
  3.912131244245116200E-001  1.005174670675576000E+000  1.701213414106691200E+008  8.917494390656558500E-001  2.583335029130925700E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.519785895137023900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964362401208692900E+010  8.307742405953518600E-011  4.352364409150801300E+003  1.532984127552234400E+003  5.321072280576412100E-009
  7.402312626279631300E-001  3.846000217649644000E+033  8.644577518700302000E-003  0.000000000000000000E+000  1.646089851486004700E+000
  3.914534147583074200E-001  1.004954223512656500E+000  1.699702846284878300E+008  8.917494390656558500E-001  2.582267616655416500E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.462219586325073200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964304601476142900E+010  8.298064052152750300E-011  4.353113382530777900E+003  1.619599350456223400E+003  5.621046169552804500E-009
  7.402312626279631300E-001  3.846000217649644000E+033  9.045222159010740700E-003  0.000000000000000000E+000  1.646636735129138900E+000
  3.916941099768754300E-001  1.004737448676258600E+000  1.698202759949272300E+008  8.917494390656558500E-001  2.580965856192681300E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.404419853775024400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964246584967559800E+010  8.287800839603680000E-011  4.353943405239921000E+003  1.711448902334519500E+003  5.938988456354397200E-009
  7.402312626279631300E-001  3.846000217649644000E+033  9.465491448811803200E-003  0.000000000000000000E+000  1.647177361974105900E+000
  3.919324901383425800E-001  1.004522024961458600E+000  1.696720776814900300E+008  8.917494390656558500E-001  2.579381302583889500E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.346403345191955600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964188367013415500E+010  8.276918601366703800E-011  4.354863119193300900E+003  1.808838568283900700E+003  6.275919962439326100E-009
  7.402312626279631300E-001  3.846000217649644000E+033  9.906324917652815900E-003  0.000000000000000000E+000  1.647689542384062700E+000
  3.921609316634284700E-001  1.004313488269254400E+000  1.695299186298082800E+008  8.917494390656558500E-001  2.577450352585289700E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.288185391047668500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964129961742916900E+010  8.265381178858917600E-011  4.355882058284203600E+003  1.912091959757360400E+003  6.632916220191096900E-009
  7.402312626279631300E-001  3.846000217649644000E+033  1.036872225873614900E-002  0.000000000000000000E+000  1.648177037613172800E+000
  3.923802131522073900E-001  1.004112178248778500E+000  1.693935004019234800E+008  8.917494390656558500E-001  2.575149331175029100E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.229780120549011200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
  6.964071382205874600E+010  8.253150323944763600E-011  4.357010733697091400E+003  2.021551391360299700E+003  7.011108974414576400E-009
  7.402312626279631300E-001  3.846000217649644000E+033  1.085374929465229700E-002  0.000000000000000000E+000  1.648646849318861300E+000
  3.925919924918269700E-001  1.003918764192473800E+000  1.692622094823917400E+008  8.917494390656558500E-001  2.572458333089884000E+003
  0.000000000000000000E+000  1.813566569029678700E-002 -4.171200583506774900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.117428546707683300E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.519167661872563900E-003  9.631515066000032000E-003
