ASTEC model
Date: Mon Feb 25 13:47:43 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 14:32 ./gong.l9bi.d.17c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899970594940200E+010  3.845999971943166300E+033  1.962347521151357200E-002  7.091285867656811300E-001
  1.989073828521448700E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.359628936863124700E+002 -1.615664463936566300E+002  4.600000018972866100E+009  5.777506280135960000E+003  6.672320000000000600E-008
  6.964854265732057200E+010  8.397684988361093900E-011  4.348194861101300400E+003  9.496691986864648200E+002  3.307085010871488000E-009
  7.371412358511946200E-001  3.845999971943166300E+033  5.769830633051526200E-003  0.000000000000000000E+000  1.640693525438269100E+000
  3.890936495385750000E-001  1.007571206161344400E+000  1.710540675551403500E+008  8.901127602401336400E-001  2.593075060030685100E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.954295137117004400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964799522074462900E+010  8.391995179808220500E-011  4.348490615327760700E+003  1.000587928313015300E+003  3.484434109539061100E-009
  7.371412358511946200E-001  3.845999971943166300E+033  6.027643618855700300E-003  0.000000000000000000E+000  1.641348726588503800E+000
  3.893843618307582500E-001  1.007213112947851700E+000  1.708524092670106300E+008  8.901127602401336400E-001  2.593310420408116000E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.899551479522705100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964744352123170500E+010  8.385952373958458700E-011  4.348818629997321300E+003  1.054665903239744500E+003  3.672755103730668200E-009
  7.371412358511946200E-001  3.845999971943166300E+033  6.298574209809403700E-003  0.000000000000000000E+000  1.641983397897273800E+000
  3.896618371958174300E-001  1.006865172960553300E+000  1.706588572737239000E+008  8.901127602401336400E-001  2.593370340623077000E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.844381528230285600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964688787259668000E+010  8.379536224571681400E-011  4.349182403893918500E+003  1.112085217371851300E+003  3.872671779004551900E-009
  7.371412358511946200E-001  3.845999971943166300E+033  6.583205008952640700E-003  0.000000000000000000E+000  1.642603733998810900E+000
  3.899302075211428200E-001  1.006529900558954500E+000  1.704720864467870000E+008  8.901127602401336400E-001  2.593276110068313800E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.788816664727783200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964632856619178800E+010  8.372725164401277600E-011  4.349585810620876100E+003  1.173038890636687300E+003  4.084842618734175200E-009
  7.371412358511946200E-001  3.845999971943166300E+033  6.882140091466731000E-003  0.000000000000000000E+000  1.643220203962507500E+000
  3.901960687069116500E-001  1.006210866833926000E+000  1.702899380310942500E+008  8.901127602401336400E-001  2.593066214330369800E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.732886024238586400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964576587117796300E+010  8.365496325924058100E-011  4.350033137685874900E+003  1.237731578973352300E+003  4.309963019258661400E-009
  7.371412358511946200E-001  3.845999971943166300E+033  7.196010724208325300E-003  0.000000000000000000E+000  1.643844099635188200E+000
  3.904668745647088500E-001  1.005913062039099200E+000  1.701101704974693700E+008  8.901127602401336400E-001  2.592786672101433900E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.676616522856140100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964520003621136500E+010  8.357825466971043100E-011  4.350529129414306200E+003  1.306380241648114900E+003  4.548775661327731800E-009
  7.371412358511946200E-001  3.845999971943166300E+033  7.525490541963783900E-003  0.000000000000000000E+000  1.644447279011611600E+000
  3.907303638703560300E-001  1.005640512559596400E+000  1.699386799928863900E+008  8.901127602401336400E-001  2.592352447623238700E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.620033026196289100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964463129125952100E+010  8.349686894492709500E-011  4.351079034008083000E+003  1.379214822453640400E+003  4.802064861382309400E-009
  7.371412358511946200E-001  3.845999971943166300E+033  7.871287762086419400E-003  0.000000000000000000E+000  1.645023679087733700E+000
  3.909834354488127000E-001  1.005390972674351500E+000  1.697763355207875400E+008  8.901127602401336400E-001  2.591721246257125100E+003
  0.000000000000000000E+000  1.805996020171574100E-002 -4.563158531011962900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.004756591018775400E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563640700E-003  9.427978008010479500E-003
  6.964405984848304700E+010  8.341053379857695600E-011  4.351688655078968600E+003  1.456479007977506600E+003  5.070658460681345900E-009
  7.371412358511946200E-001  3.845999971943166300E+033  8.234148102550034600E-003  0.000000000000000000E+000  1.645579219215449500E+000
