ASTEC model
Date: Tue Dec 15 15:15:41 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.02c_eq
      2482        15        25      1210
  1.989000000000000100E+033  6.959899981621833800E+010  3.845999983561002400E+033  1.962140337091768800E-002  7.088777219518940200E-001
  1.988824030847278400E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.361462584350013600E+002 -1.616655638846962400E+002  4.600000022789200800E+009  5.777506279922280600E+003  6.672320000000000600E-008
  6.964853869193800400E+010  8.398348513345779100E-011  4.348194807221782900E+003  9.497609925866174800E+002  3.307664572777653100E-009
  7.370574079224173600E-001  3.845999983561002400E+033  5.769267368767443500E-003  0.000000000000000000E+000  1.640694805277564500E+000
  3.890942209080398000E-001  1.007570477099620600E+000  1.710402539831482500E+008  8.900683602184189500E-001  2.593280920964547500E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.953887571966552700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964799129827525300E+010  8.392658153556067100E-011  4.348490561444577900E+003  1.000684633686656800E+003  3.485044711473586200E-009
  7.370574079224173600E-001  3.845999983561002400E+033  6.027057613156044800E-003  0.000000000000000000E+000  1.641349918488903500E+000
  3.893848846809546100E-001  1.007212392501854100E+000  1.708386350891629500E+008  8.900683602184189500E-001  2.593515987188063300E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.899148205691528300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964743964221862800E+010  8.386614764696730500E-011  4.348818576110074000E+003  1.054767803119558900E+003  3.673398582808192200E-009
  7.370574079224173600E-001  3.845999983561002400E+033  6.297964413066528500E-003  0.000000000000000000E+000  1.641984512597512300E+000
  3.896623218025530600E-001  1.006864464790272900E+000  1.706451182111091600E+008  8.900683602184189500E-001  2.593575672124670300E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.843982600028991700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964688403754887400E+010  8.380197998852372500E-011  4.349182350002162800E+003  1.112192609693005800E+003  3.873350068383650800E-009
  7.370574079224173600E-001  3.845999983561002400E+033  6.582570299028989300E-003  0.000000000000000000E+000  1.642604798284391700E+000
  3.899306716543875000E-001  1.006529213632545000E+000  1.704583760941426200E+008  8.900683602184189500E-001  2.593481328737526800E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.788422133053588900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964632477558320600E+010  8.373386286984060200E-011  4.349585756724126400E+003  1.173152089289757900E+003  4.085557752390408700E-009
  7.370574079224173600E-001  3.845999983561002400E+033  6.881479288227503700E-003  0.000000000000000000E+000  1.643221266225339600E+000
  3.901965399603701800E-001  1.006210217200974600E+000  1.702762472493796100E+008  8.900683602184189500E-001  2.593271527206992200E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.732495936486816400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964576212544979900E+010  8.366156759672462200E-011  4.350033083783578100E+003  1.237850914730891400E+003  4.310717149665974200E-009
  7.370574079224173600E-001  3.845999983561002400E+033  7.195322611827861500E-003  0.000000000000000000E+000  1.643845157614632200E+000
  3.904673543774761500E-001  1.005912475182379800E+000  1.700965030099778500E+008  8.900683602184189500E-001  2.592992144924862300E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.676230923146057100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964519633577700800E+010  8.358485172765705800E-011  4.350529075505863100E+003  1.306506062941830600E+003  4.549571078107344100E-009
  7.370574079224173600E-001  3.845999983561002400E+033  7.524773884760701600E-003  0.000000000000000000E+000  1.644448260909819000E+000
  3.907308136059325400E-001  1.005639997402767000E+000  1.699250529265748900E+008  8.900683602184189500E-001  2.592557840595920400E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.619651955867004400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964462763650727800E+010  8.350345831128891400E-011  4.351078980092826000E+003  1.379347496279400000E+003  4.802903966428939400E-009
  7.370574079224173600E-001  3.845999983561002400E+033  7.870541261673415600E-003  0.000000000000000000E+000  1.645024611186905400E+000
  3.909838623593436800E-001  1.005390523474798400E+000  1.697627439498305300E+008  8.900683602184189500E-001  2.591926577010431200E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.562782028894043000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964405623977647400E+010  8.341711503927210900E-011  4.351688601156158300E+003  1.456618920947833700E+003  5.071543788024423200E-009
  7.370574079224173600E-001  3.845999983561002400E+033  8.233370416378459800E-003  0.000000000000000000E+000  1.645580134467098600E+000
  3.912287101598689900E-001  1.005159479573432000E+000  1.696077899356406300E+008  8.900683602184189500E-001  2.591083056357209900E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.505642355813598600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964348234101275600E+010  8.332553337726700700E-011  4.352364354062743600E+003  1.538578565215600500E+003  5.356365493229131300E-009
  7.370574079224173600E-001  3.845999983561002400E+033  8.614049673844907300E-003  0.000000000000000000E+000  1.646124931935851100E+000
  3.914690641663828300E-001  1.004940137703938400E+000  1.694573968882969600E+008  8.900683602184189500E-001  2.590014593754905000E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.448252479441833500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563691000E-003  9.427978008010422200E-003
  6.964290612021766700E+010  8.322840767643498300E-011  4.353113327433245100E+003  1.625499974909425000E+003  5.658293221533679500E-009
  7.370574079224173600E-001  3.845999983561002400E+033  9.013413753767900200E-003  0.000000000000000000E+000  1.646674192742429100E+000
  3.917104615253975100E-001  1.004723122831599600E+000  1.693075402810667500E+008  8.900683602184189500E-001  2.588711913707867600E+003
  0.000000000000000000E+000  1.805790687930397500E-002 -4.390630399932861300E+007  0.000000000000000000E+000  0.000000000000000000E+000
