ASTEC model
Date: Tue Dec 15 15:15:43 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.34c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899981575941500E+010  3.845999986642687200E+033  1.963195088190077300E-002  7.093252528720948000E-001
  1.987933813029046900E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.359014168071330700E+002 -1.581201154654474100E+002  4.600000031845333100E+009  5.777506281098666500E+003  6.672320000000000600E-008
  6.964855825594439700E+010  8.395173473874300900E-011  4.348194837267637000E+003  9.493202387771408400E+002  3.304887107532288500E-009
  7.374585113802149000E-001  3.845999986642687200E+033  5.771954245845701600E-003  0.000000000000000000E+000  1.640688663118706500E+000
  3.890914781387870300E-001  1.007573976634740000E+000  1.711063565062397100E+008  8.902808106348932800E-001  2.592296278140976000E+003
  0.000000000000000000E+000  1.806773387933891000E-002 -4.955844018498230000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.917168675701724600E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.428980363081450200E-003  9.439302607409976600E-003
  6.964801065626791400E+010  8.389485752372568200E-011  4.348490591492475700E+003  1.000220297037537100E+003  3.482118491269795900E-009
  7.374585113802149000E-001  3.845999986642687200E+033  6.029852935676976500E-003  0.000000000000000000E+000  1.641344197921593000E+000
  3.893823747842409300E-001  1.007215850395438500E+000  1.709045486897122900E+008  8.902808106348932800E-001  2.592532755242099000E+003
  0.000000000000000000E+000  1.806773387933891000E-002 -4.901084050849914600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.917168675701724600E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.428980363081450200E-003  9.439302607409976600E-003
  6.964745879158972200E+010  8.383445153836388400E-011  4.348818606160234600E+003  1.054278524608041200E+003  3.670314803968998900E-009
  7.374585113802149000E-001  3.845999986642687200E+033  6.300873182716887000E-003  0.000000000000000000E+000  1.641979162632882600E+000
  3.896599957204030000E-001  1.006867863687830300E+000  1.707108633490629200E+008  8.902808106348932800E-001  2.592593570564613400E+003
  0.000000000000000000E+000  1.806773387933891000E-002 -4.845897583030700700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.917168675701724600E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.428980363081450200E-003  9.439302607409976600E-003
  6.964690297585452300E+010  8.377031338363723500E-011  4.349182380054837300E+003  1.111676958729208500E+003  3.870099466967471500E-009
