ASTEC model
Date: Tue Dec 15 15:15:44 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.37c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900188045626800E+010  3.846000221588583600E+033  1.849634219407332200E-002  7.069555716730802100E-001
  2.068469738767933800E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.365438202717936300E+002 -1.623258778978171200E+002  4.600000019399886100E+009  5.777506283636660600E+003  6.672320000000000600E-008
  6.964835987221339400E+010  7.977309979867499800E-011  4.348194811522739700E+003  9.112821991111368300E+002  3.176138530861775400E-009
  7.361554470691631400E-001  3.846000221588583600E+033  6.012878881466485000E-003  0.000000000000000000E+000  1.640155405948375200E+000
  3.888513180296629400E-001  1.007862171147920300E+000  1.710629102274506100E+008  8.879963520003008000E-001  2.594440615464350200E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.935799175712585400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964781295587989800E+010  7.971850677620692600E-011  4.348490565745823000E+003  9.601382039606323800E+002  3.346454962111282500E-009
  7.361554470691631400E-001  3.846000221588583600E+033  6.282708577970496700E-003  0.000000000000000000E+000  1.640833119051998200E+000
  3.891559615171014700E-001  1.007494746800862800E+000  1.708532072434489400E+008  8.879963520003008000E-001  2.594748730113407400E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.881107542362976100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964726243653750600E+010  7.966059935722016000E-011  4.348818580411643800E+003  1.011961934584180800E+003  3.527087350150280200E-009
  7.361554470691631400E-001  3.846000221588583600E+033  6.579955713657075500E-003  0.000000000000000000E+000  1.641486242391480200E+000
  3.894447801897211700E-001  1.007136805997198600E+000  1.706526440467744200E+008  8.879963520003008000E-001  2.594841721721811600E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.826055608123779300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964670897169769300E+010  7.959923099202133000E-011  4.349182354304091900E+003  1.066882718258672200E+003  3.718477180131234700E-009
  7.361554470691631400E-001  3.846000221588583600E+033  6.888054434320282200E-003  0.000000000000000000E+000  1.642118260931624300E+000
  3.897203782513518100E-001  1.006790388871816600E+000  1.704604501364778900E+008  8.879963520003008000E-001  2.594754723365803800E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.770709124142456100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964615249713760400E+010  7.953417158575168500E-011  4.349585761026454700E+003  1.125106603717274500E+003  3.921330877781000300E-009
  7.361554470691631400E-001  3.846000221588583600E+033  7.208743771172836600E-003  0.000000000000000000E+000  1.642736917627543700E+000
  3.899877056727587600E-001  1.006457961941424500E+000  1.702749361469550400E+008  8.879963520003008000E-001  2.594511947870076700E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.715061668133544900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964559306281573500E+010  7.946518878015984000E-011  4.350033088086349400E+003  1.186841684995164500E+003  4.136358253104240700E-009
  7.361554470691631400E-001  3.846000221588583600E+033  7.543974022016368900E-003  0.000000000000000000E+000  1.643354271163734600E+000
  3.902542010931460100E-001  1.006143219500017500E+000  1.700936071675858800E+008  8.879963520003008000E-001  2.594154622203407600E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.659118235946655300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964503079487625100E+010  7.939204547062432700E-011  4.350529079809124600E+003  1.252300231406076400E+003  4.364280961841421800E-009
  7.361554470691631400E-001  3.846000221588583600E+033  7.895072210793359700E-003  0.000000000000000000E+000  1.643975942755717700E+000
  3.905245750354629500E-001  1.005851376789893300E+000  1.699154184972536900E+008  8.879963520003008000E-001  2.593709275810857900E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.602891441998291000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964446584639988700E+010  7.931449472990774400E-011  4.351078984396635900E+003  1.321703265183433800E+003  4.605855697027526800E-009
  7.361554470691631400E-001  3.846000221588583600E+033  8.263064068968817300E-003  0.000000000000000000E+000  1.644571650822973700E+000
  3.907850907740389500E-001  1.005584905361446100E+000  1.697465905284795800E+008  8.879963520003008000E-001  2.593075583838458400E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.546396594361877400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964389837287204000E+010  7.923227653622439700E-011  4.351688605460566600E+003  1.395283503053797900E+003  4.861874216381738400E-009
  7.361554470691631400E-001  3.846000221588583600E+033  8.648797974489686600E-003  0.000000000000000000E+000  1.645141525988324900E+000
  3.910354961713470900E-001  1.005340679485313700E+000  1.695866292008057800E+008  8.879963520003008000E-001  2.592225749111553800E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.489649241577148400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964332851859344500E+010  7.914511523456213000E-011  4.352364358367824000E+003  1.473287635860007400E+003  5.133173024873726400E-009
  7.361554470691631400E-001  3.846000221588583600E+033  9.053017715452344900E-003  0.000000000000000000E+000  1.645692331797880000E+000
  3.912783184470843300E-001  1.005113637717786300E+000  1.694335286525644100E+008  8.879963520003008000E-001  2.591143704477502500E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.432663813717651400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964275640970390300E+010  7.905271737102863200E-011  4.353113331739062200E+003  1.555978271428637300E+003  5.420640091825101000E-009
  7.361554470691631400E-001  3.846000221588583600E+033  9.476400767526704800E-003  0.000000000000000000E+000  1.646235155725611400E+000
  3.915176400317525500E-001  1.004896480601828300E+000  1.692842380724512300E+008  8.879963520003008000E-001  2.589816297421785300E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.375452924763488800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964218215080035400E+010  7.895476968046253000E-011  4.353943354438521100E+003  1.643635737711357300E+003  5.725220452320509600E-009
  7.361554470691631400E-001  3.846000221588583600E+033  9.919580491761070100E-003  0.000000000000000000E+000  1.646783682605203100E+000
  3.917585380196074200E-001  1.004679968848741800E+000  1.691349597183414100E+008  8.879963520003008000E-001  2.588230155968975900E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.318027034408569300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964160582356199600E+010  7.885093710988759300E-011  4.354863068381164300E+003  1.736559853137046700E+003  6.047920337633056000E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.038315845155878500E-002  0.000000000000000000E+000  1.647313261245165500E+000
  3.919929493852928300E-001  1.004467350600693100E+000  1.689897089438252400E+008  8.879963520003008000E-001  2.586313935126279800E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.260394310572814900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964102748658146700E+010  7.874086080998967600E-011  4.355882007460182600E+003  1.835071725018810400E+003  6.389812856464134000E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.086771268935780000E-002  0.000000000000000000E+000  1.647815195110339900E+000
  3.922176173434477900E-001  1.004261539226906800E+000  1.688503653151784200E+008  8.879963520003008000E-001  2.584025132742444800E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.202560612519836400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.964044717583975200E+010  7.862415601880925100E-011  4.357010682859896400E+003  1.939515643165077300E+003  6.752043723139928200E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.137379609542510200E-002  0.000000000000000000E+000  1.648294332229472100E+000
  3.924336252475147900E-001  1.004062938975333700E+000  1.687165128265786200E+008  8.879963520003008000E-001  2.581341371468670300E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.144529538348388700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963986490489646900E+010  7.850040966468799700E-011  4.358260674963323300E+003  2.050261222026817000E+003  7.135837073039145100E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.190191396121086100E-002  0.000000000000000000E+000  1.648759065143145600E+000
  3.926430171383642500E-001  1.003872313266624100E+000  1.685873928485577100E+008  8.879963520003008000E-001  2.578245078421950400E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.086302444020080600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963928066335688800E+010  7.836917731182646900E-011  4.359644731984575600E+003  2.167706125252742800E+003  7.542503114813708500E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.245245704963936600E-002  0.000000000000000000E+000  1.649222256594543100E+000
  3.928490671210609400E-001  1.003690812526205000E+000  1.684617984681054100E+008  8.879963520003008000E-001  2.574725386714927900E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -4.027878290061950700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963869441028521700E+010  7.822997849626190100E-011  4.361176875349612600E+003  2.292280214665196600E+003  7.973443935894054000E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.302551575689710000E-002  0.000000000000000000E+000  1.649678739173419800E+000
  3.930507111482322600E-001  1.003513304505233800E+000  1.683394832873516700E+008  8.879963520003008000E-001  2.570722410647839300E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.969252982894897500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963810605982249500E+010  7.808228907246784600E-011  4.362872511707247200E+003  2.424452359639269600E+003  8.430188849857453500E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.362059010770045800E-002  0.000000000000000000E+000  1.650112813016736000E+000
  3.932426982410274800E-001  1.003339012150065400E+000  1.682225530766467200E+008  8.879963520003008000E-001  2.566161626247748200E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.910417936622619600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963751556321913100E+010  7.792555873750693600E-011  4.364748551269846800E+003  2.564715416608727500E+003  8.914343042238161300E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.424142229111909400E-002  0.000000000000000000E+000  1.650515792805947100E+000
  3.934204072699086200E-001  1.003174218197643500E+000  1.681138248096452100E+008  8.879963520003008000E-001  2.560975908323410300E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.851368276286315900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963692302966714500E+010  7.775924572416856200E-011  4.366823531950311000E+003  2.713554906603257700E+003  9.427472353957370900E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.489399080178087900E-002  0.000000000000000000E+000  1.650876996754950400E+000
  3.935779520913361100E-001  1.003027851476281600E+000  1.680170122914124100E+008  8.879963520003008000E-001  2.555084239469583700E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.792114921087646500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963632873446479800E+010  7.758282949393484100E-011  4.369117748470536800E+003  2.871437338043859200E+003  9.971062594023739700E-009
  7.361554470691631400E-001  3.846000221588583600E+033  1.558428207393020000E-002  0.000000000000000000E+000  1.651183471282707600E+000
  3.937079563862102600E-001  1.002912132621905000E+000  1.679369081999100100E+008  8.879963520003008000E-001  2.548399205573371100E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.732685400852966300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963573309835005200E+010  7.739581778154771500E-011  4.371653385255874100E+003  3.038804057352624600E+003  1.054648621190684800E-008
  7.361554470691631400E-001  3.846000221588583600E+033  1.631943159783480500E-002  0.000000000000000000E+000  1.651403150619786600E+000
  3.937950305426613500E-001  1.002840360181083800E+000  1.678819705376455800E+008  8.879963520003008000E-001  2.540770329583792300E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.673121789378356900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963513636754045100E+010  7.719764879651090300E-011  4.374454651489279100E+003  3.216156036532746800E+003  1.115527185457141500E-008
  7.361554470691631400E-001  3.846000221588583600E+033  1.708904048549839800E-002  0.000000000000000000E+000  1.651515006975389400E+000
  3.938305646686157100E-001  1.002813000390881100E+000  1.678559978030588000E+008  8.879963520003008000E-001  2.532124952041910500E+003
  0.000000000000000000E+000  1.698310452903173400E-002 -3.613448708418273900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  8.053920073578698000E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963954600E-003  9.132621856464039100E-003
  6.963453850133534200E+010  7.698764068462733500E-011  4.377547916166751700E+003  3.404103173036869500E+003  1.179928766972048700E-008
