ASTEC model
Date: Mon Feb 25 13:47:47 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.41c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899771891583300E+010  3.827999772163848600E+033  1.963854297010129300E-002  7.095712197367524100E-001
  1.979356839519679900E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.357982837345067500E+002 -1.609794871158596800E+002  4.600000019269037200E+009  5.770734437738182400E+003  6.672320000000000600E-008
  6.964852888273779300E+010  8.408312483206532300E-011  4.343098249218997800E+003  9.491585836294824500E+002  3.307534685037357700E-009
  7.376758331349588800E-001  3.827999772163848600E+033  5.772932044977999300E-003  0.000000000000000000E+000  1.640701435961727600E+000
  3.890971937724627700E-001  1.007567123037832500E+000  1.711371963358774200E+008  8.903959167830890500E-001  2.594836533531588400E+003
  0.000000000000000000E+000  1.807305721753438300E-002 -4.953116382196044900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.000899188004794800E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563670200E-003  9.427978008010444800E-003
  6.964798179714288300E+010  8.402625539820204200E-011  4.343393656785620800E+003  1.000051620596097800E+003  3.484913636136514200E-009
  7.376758331349588800E-001  3.827999772163848600E+033  6.030485895049510600E-003  0.000000000000000000E+000  1.641356553436655200E+000
  3.893878176175250000E-001  1.007209252910602900E+000  1.709355242515093100E+008  8.903959167830890500E-001  2.595072496606763300E+003
  0.000000000000000000E+000  1.807305721753438300E-002 -4.898407822705078100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.000899188004794800E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563670200E-003  9.427978008010444800E-003
  6.964743041558226000E+010  8.396585364378365800E-011  4.343721286982195100E+003  1.054105997302536900E+003  3.673279211818535800E-009
  7.376758331349588800E-001  3.827999772163848600E+033  6.301099902230100600E-003  0.000000000000000000E+000  1.641991234981593700E+000
  3.896652391938353300E-001  1.006861531774417000E+000  1.707419446559394600E+008  8.903959167830890500E-001  2.595133278028071800E+003
  0.000000000000000000E+000  1.807305721753438300E-002 -4.843269666642761200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.000899188004794800E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563670200E-003  9.427978008010444800E-003
  6.964687505136323500E+010  8.390171550428169400E-011  4.344084634491653600E+003  1.111504348264629700E+003  3.873257501930450500E-009
  7.376758331349588800E-001  3.827999772163848600E+033  6.585369981926690800E-003  0.000000000000000000E+000  1.642611654800491600E+000
  3.899335898958010700E-001  1.006526465205965300E+000  1.705551310258355100E+008  8.903959167830890500E-001  2.595040138216420500E+003
  0.000000000000000000E+000  1.807305721753438300E-002 -4.787733244740295400E+007  0.000000000000000000E+000  0.000000000000000000E+000
