ASTEC model
Date: Tue Dec 15 15:15:41 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 599216 Apr 14 2016 ./gong.l9bi.03c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900053851991300E+010  3.845999937755578600E+033  1.759039041960604200E-002  7.179751573415053000E-001
  1.853384517643385600E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.313738999059650000E+002 -1.538514380123015100E+002  4.600000023237241700E+009  5.777506232740314800E+003  6.672320000000000600E-008
  6.964753082053981000E+010  8.507410621736782900E-011  4.348194805164928800E+003  9.728614957239937000E+002  3.449825747866709600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  5.632284959894176700E-003  0.000000000000000000E+000  1.641018733805171200E+000
  3.892371111053744000E-001  1.007389123409326600E+000  1.678887792340585300E+008  8.799611551651125300E-001  2.641050192616032300E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.853028201989746100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964699405924775700E+010  8.501591455425614400E-011  4.348490559387580100E+003  1.024940030968247100E+003  3.634530192852284300E-009
  7.179751522395101400E-001  3.845999937755578600E+033  5.902816876186663100E-003  0.000000000000000000E+000  1.641652250394248800E+000
  3.895164369104040000E-001  1.007034144136273800E+000  1.676964286745882300E+008  8.799611551651125300E-001  2.641188692173002900E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.799352072784423800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964645463161911000E+010  8.495429486581967800E-011  4.348818574052921600E+003  1.080086351413089200E+003  3.830079190380088600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  6.184925650359116400E-003  0.000000000000000000E+000  1.642268126982843900E+000
  3.897850544946536700E-001  1.006691782170334700E+000  1.675114554982453000E+008  8.799611551651125300E-001  2.641170926108798100E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.745409309919738800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964591257561715700E+010  8.488903541113414400E-011  4.349182347944837600E+003  1.138490056864432500E+003  4.037133443915619600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  6.480027378929473100E-003  0.000000000000000000E+000  1.642877185378827800E+000
  3.900492155387846300E-001  1.006365652800592900E+000  1.673318559678126600E+008  8.799611551651125300E-001  2.641034360287480900E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.691203709724426300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964536798271107500E+010  8.481991802526053400E-011  4.349585754666611100E+003  1.200346438013476900E+003  4.256370221559184600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  6.789088224021923000E-003  0.000000000000000000E+000  1.643494701272250500E+000
  3.903176143353583900E-001  1.006060888268153200E+000  1.671548999123462700E+008  8.799611551651125300E-001  2.640835639901447400E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.636744419116210900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964482095909426900E+010  8.474671387003671100E-011  4.350033081725855500E+003  1.265860307947095600E+003  4.488502948641577600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  7.112863941045933500E-003  0.000000000000000000E+000  1.644101629139986400E+000
  3.905823767386518200E-001  1.005782654125337000E+000  1.669847688461500400E+008  8.799611551651125300E-001  2.640521040137003600E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.582042057435607900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964427160783198500E+010  8.466918070076413300E-011  4.350529073447901300E+003  1.335248459601673600E+003  4.734286917630668200E-009
  7.179751522395101400E-001  3.845999937755578600E+033  7.451993464609327200E-003  0.000000000000000000E+000  1.644683570671814100E+000
  3.908367593051285700E-001  1.005529466145963900E+000  1.668239732510441500E+008  8.799611551651125300E-001  2.640026883017775200E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.527106931207275400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964372001940982100E+010  8.458706068004673800E-011  4.351078978034608600E+003  1.408741627293618200E+003  4.994522347467599100E-009
  7.179751522395101400E-001  3.845999937755578600E+033  7.807039066625962600E-003  0.000000000000000000E+000  1.645244671270949400E+000
  3.910825154100127100E-001  1.005296850195392500E+000  1.666709620262771800E+008  8.799611551651125300E-001  2.639336894870251400E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.471948088990783700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964316626668402100E+010  8.450007839835420700E-011  4.351688599097648000E+003  1.486586260413629400E+003  5.270062138144539900E-009
  7.179751522395101400E-001  3.845999937755578600E+033  8.178510152883736900E-003  0.000000000000000000E+000  1.645792269574547500E+000
  3.913226310704553400E-001  1.005078254061414000E+000  1.665233168991868800E+008  8.799611551651125300E-001  2.638436295441372700E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.416572816410827600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964261040246395900E+010  8.440793894362009500E-011  4.352364352003917700E+003  1.569046253165074200E+003  5.561817557091140000E-009
  7.179751522395101400E-001  3.845999937755578600E+033  8.566872175569225500E-003  0.000000000000000000E+000  1.646337881605654600E+000
  3.915617006623596800E-001  1.004864465670900300E+000  1.663774989016607400E+008  8.799611551651125300E-001  2.637312727394908100E+003
  0.000000000000000000E+000  1.759039041960597200E-002 -4.360986394404602100E+007  0.000000000000000000E+000  0.000000000000000000E+000
  5.066416261887556500E-009  0.000000000000000000E+000  0.000000000000000000E+000  3.966158913381727000E-003  8.452910400000028900E-003
  6.964205245834379600E+010  8.431032590039066300E-011  4.353113325374060000E+003  1.656404734614868900E+003  5.870763431952514600E-009
  7.179751522395101400E-001  3.845999937755578600E+033  8.972548511887211800E-003  0.000000000000000000E+000  1.646880785988759800E+000
