ASTEC model
Date: Tue Dec 15 15:15:43 CET 2020
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.36c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900132620040900E+010  3.846000122734668600E+033  1.854040522897346100E-002  7.110951580127195000E-001
  2.103276340659768500E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.361313100270071500E+002 -1.614958909214944400E+002  4.600000022498864200E+009  5.777506269516546100E+003  6.672320000000000600E-008
  6.964850365006561300E+010  7.955192155916234900E-011  4.348194813457267600E+003  9.087976271900936400E+002  3.158185253974398500E-009
  7.392939114346894800E-001  3.846000122734668600E+033  6.029318797971419500E-003  0.000000000000000000E+000  1.640116781933705200E+000
  3.888337131211787000E-001  1.007883363843223900E+000  1.715776775884594300E+008  8.896518918769695800E-001  2.586759851243798900E+003
  0.000000000000000000E+000  1.705551020418139000E-002 -4.950232386520385700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.149759781466163500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963936400E-003  9.132621856464059900E-003
  6.964795505166262800E+010  7.949746979209390100E-011  4.348490567680486500E+003  9.575270559942816800E+002  3.327561919185174500E-009
  7.392939114346894800E-001  3.846000122734668600E+033  6.298179715700986400E-003  0.000000000000000000E+000  1.640797354121222200E+000
  3.891400536695789300E-001  1.007515755089336600E+000  1.713665639567830600E+008  8.896518918769695800E-001  2.587080384291205100E+003
  0.000000000000000000E+000  1.705551020418139000E-002 -4.895372546221923800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.149759781466163500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.341201825963936400E-003  9.132621856464059900E-003
  6.964740275517961100E+010  7.943970294814828900E-011  4.348818582346449100E+003  1.009224951667062300E+003  3.507227148571186100E-009
  7.392939114346894800E-001  3.846000122734668600E+033  6.595788713146670200E-003  0.000000000000000000E+000  1.641453456820116200E+000
  3.894304396962720000E-001  1.007157591221811100E+000  1.711646599169127900E+008  8.896518918769695800E-001  2.587183879217273400E+003
