ASTEC model
Date: Mon Feb 25 13:47:42 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.07c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899961942994700E+010  3.845999960623450300E+033  1.962480440113977000E-002  7.081717962970619500E-001
  1.984336528520404200E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.362587998387836000E+002 -1.620782490961881300E+002  4.600000018904807100E+009  5.777506279475856900E+003  6.672320000000000600E-008
  6.964852219591719100E+010  8.401127544590886900E-011  4.348194792045517700E+003  9.498265761340403500E+002  3.309161382848932600E-009
  7.366478131248608300E-001  3.845999960623450300E+033  5.768876662744580600E-003  0.000000000000000000E+000  1.640695891271120000E+000
  3.890947005810305700E-001  1.007569728421043000E+000  1.709743567358049500E+008  8.898514104141176400E-001  2.594277206116160000E+003
  0.000000000000000000E+000  1.804787063822122000E-002 -4.952257648724365200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.323293163749553500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173652900E-003  9.426916212000046500E-003
  6.964797500875929300E+010  8.395436755382149800E-011  4.348490546267275900E+003  1.000754075182295200E+003  3.486623016367700100E-009
  7.366478131248608300E-001  3.845999960623450300E+033  6.026568943304467000E-003  0.000000000000000000E+000  1.641350793573365100E+000
  3.893852604871508900E-001  1.007211590104123400E+000  1.707728503456892700E+008  8.898514104141176400E-001  2.594511665215754400E+003
  0.000000000000000000E+000  1.804787063822122000E-002 -4.897538932934570300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.323293163749553500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173652900E-003  9.426916212000046500E-003
  6.964742355513940400E+010  8.389392844873825700E-011  4.348818560931627000E+003  1.054841932339223600E+003  3.675065459696671100E-009
  7.366478131248608300E-001  3.845999960623450300E+033  6.297400251390034500E-003  0.000000000000000000E+000  1.641985196800952500E+000
  3.896626201315521200E-001  1.006863610008542600E+000  1.705794324527972900E+008  8.898514104141176400E-001  2.594570809296265500E+003
  0.000000000000000000E+000  1.804787063822122000E-002 -4.842393570945739700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.323293163749553500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173652900E-003  9.426916212000046500E-003
  6.964686815128521700E+010  8.382975483353162400E-011  4.349182334822446100E+003  1.112272093275461900E+003  3.875112254032670300E-009
  7.366478131248608300E-001  3.845999960623450300E+033  6.581950040809661700E-003  0.000000000000000000E+000  1.642605360072550500E+000
  3.899309386285805800E-001  1.006528328890538200E+000  1.703927716347723000E+008  8.898514104141176400E-001  2.594476182050373600E+003
  0.000000000000000000E+000  1.804787063822122000E-002 -4.786853185527038600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.323293163749553500E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173652900E-003  9.426916212000046500E-003
