ASTEC model
Date: Mon Feb 25 13:47:41 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 13:21 ./gong.l9bi.d.05c
      2482        15        25      1210
  1.989000000000000100E+033  6.955080045364736900E+010  3.846000043362862700E+033  1.962864656407796800E-002  7.091412431695894900E-001
  1.996342958397288000E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.362064409786123600E+002 -1.618450583245260400E+002  4.600000019248935700E+009  5.779507888918984500E+003  6.672320000000000600E-008
  6.960029322588719200E+010  8.375387517137218000E-011  4.349701334068125100E+003  9.502062918441678200E+002  3.307361519468866700E-009
  7.372863273127404600E-001  3.846000043362862700E+033  5.774556591523622800E-003  0.000000000000000000E+000  1.640696268844931400E+000
  3.890948784669191500E-001  1.007569772191599500E+000  1.710764445151177900E+008  8.901896098026765800E-001  2.593627315193702100E+003
  0.000000000000000000E+000  1.806351473874368000E-002 -4.949277223982238800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.024553895297338900E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173673700E-003  9.426916212000022200E-003
  6.959974628840461700E+010  8.369710295016692500E-011  4.349997190761410800E+003  1.001153356336263200E+003  3.484723788579374000E-009
  7.372863273127404600E-001  3.846000043362862700E+033  6.032689866448729500E-003  0.000000000000000000E+000  1.641351411168452800E+000
  3.893855466098904400E-001  1.007211756491360500E+000  1.708747950215343200E+008  8.901896098026765800E-001  2.593862424624613600E+003
  0.000000000000000000E+000  1.806351473874368000E-002 -4.894583475724792500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.024553895297338900E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173673700E-003  9.426916212000022200E-003
  6.959919510154562400E+010  8.363680968040832900E-011  4.350325319074736400E+003  1.055260423435982600E+003  3.673055281005204100E-009
  7.372863273127404600E-001  3.846000043362862700E+033  6.303966464989774400E-003  0.000000000000000000E+000  1.641986032508668800E+000
  3.896629812532181300E-001  1.006863905896599100E+000  1.706812533405972400E+008  8.901896098026765800E-001  2.593922078479346100E+003
  0.000000000000000000E+000  1.806351473874368000E-002 -4.839464789825439500E+007  0.000000000000000000E+000  0.000000000000000000E+000
